Age,Potential,Wage,Preferred Foot,Weak Foot,Position,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,Positioning,Vision,Penalties,GKPositioning,GKReflexes,Value
31,94,€565K,Left,4,RF,5'7,159lbs,84,95,70,90,86,97,93,96,91,86,91,95,95,85,68,72,59,94,94,75,14,8,€110.5M
33,94,€405K,Right,4,ST,6'2,183lbs,84,94,89,81,87,88,81,94,89,91,87,96,70,95,95,88,79,95,82,85,14,11,€77M
26,93,€290K,Right,5,LW,5'9,150lbs,79,87,62,84,84,96,88,95,94,90,96,94,84,80,61,81,49,89,87,81,15,11,€118.5M
27,93,€260K,Right,3,GK,6'4,168lbs,17,13,21,50,13,18,21,42,57,58,60,90,43,31,67,43,64,12,68,40,88,94,€72M
27,92,€355K,Right,5,RCM,5'11,154lbs,93,82,55,92,82,86,85,91,78,76,79,91,77,91,63,90,75,87,94,79,10,13,€102M
27,91,€340K,Right,4,LF,5'8,163lbs,81,84,61,89,80,95,83,94,94,88,95,90,94,82,56,83,66,87,89,86,8,8,€93M
32,91,€420K,Right,4,RCM,5'8,146lbs,86,72,55,93,76,90,85,93,80,72,93,90,94,79,68,89,58,79,92,82,14,9,€67M
31,91,€455K,Right,4,RS,6'0,190lbs,77,93,77,82,88,87,86,90,86,75,82,92,83,86,69,90,83,92,84,85,33,37,€80M
32,91,€380K,Right,3,RCB,6'0,181lbs,66,60,91,78,66,63,74,84,76,75,78,85,66,79,93,84,83,60,63,75,7,11,€51M
25,93,€94K,Right,3,GK,6'2,192lbs,13,11,15,29,13,12,13,16,43,60,67,86,49,22,76,41,78,11,70,11,88,89,€68M
29,90,€205K,Right,4,ST,6'0,176lbs,62,91,85,83,89,85,77,89,77,78,78,90,78,88,84,78,84,91,77,88,8,10,€77M
28,90,€355K,Right,5,LCM,6'0,168lbs,88,76,54,92,82,81,86,90,64,62,70,89,71,87,30,75,73,79,86,73,7,10,€76.5M
32,90,€125K,Right,3,CB,6'2,172lbs,55,42,92,79,47,53,49,76,68,68,58,85,54,67,91,66,88,48,52,50,5,15,€44M
32,90,€285K,Left,2,LCM,5'8,148lbs,84,76,54,93,82,89,82,94,70,64,92,90,90,72,64,78,52,89,92,75,6,12,€60M
27,90,€225K,Right,3,LDM,5'6,159lbs,68,65,54,86,56,79,49,80,82,78,82,93,92,71,77,96,76,71,79,54,7,10,€63M
24,94,€205K,Left,3,LF,5'10,165lbs,82,84,68,87,88,92,88,92,87,83,91,86,85,82,75,80,65,84,87,86,5,8,€89M
24,91,€205K,Right,4,ST,6'2,196lbs,75,94,85,80,84,80,78,84,68,72,71,91,71,88,78,89,84,93,80,90,14,11,€83.5M
27,90,€145K,Left,3,CAM,5'9,161lbs,82,90,84,83,87,88,84,90,88,85,90,90,80,80,90,83,62,91,83,79,13,14,€78M
26,92,€240K,Right,4,GK,6'2,187lbs,15,14,11,36,14,17,18,18,38,50,37,85,43,22,79,35,79,11,69,25,85,90,€58M
26,90,€240K,Left,2,GK,6'6,212lbs,14,14,13,33,12,13,19,23,46,52,61,84,45,36,68,38,70,13,44,27,86,88,€53.5M
29,89,€315K,Right,3,CDM,6'2,168lbs,62,67,68,89,44,80,66,88,50,52,66,87,52,61,66,86,77,77,87,60,9,13,€51.5M
31,89,€200K,Right,4,LS,6'1,170lbs,70,89,89,78,90,80,77,82,75,76,77,91,59,87,88,92,78,93,77,85,13,10,€60M
32,89,€130K,Right,4,GK,6'4,203lbs,15,13,25,55,11,30,14,48,54,60,51,84,35,25,77,43,80,12,70,47,87,87,€38M
30,89,€300K,Right,4,ST,5'8,154lbs,70,93,77,81,85,89,82,89,88,80,86,90,91,88,81,76,73,92,83,83,11,14,€64.5M
33,89,€215K,Left,3,LCB,6'2,187lbs,58,33,83,59,45,58,60,57,63,75,54,82,55,78,89,65,89,28,50,50,4,3,€27M
19,95,€100K,Right,4,RM,5'10,161lbs,77,88,77,82,78,90,77,91,96,96,92,87,83,79,75,83,71,88,82,70,11,6,€81M
26,89,€255K,Left,3,RM,5'9,157lbs,78,90,59,82,73,89,83,88,94,91,91,91,88,77,68,84,70,90,82,61,11,14,€69.5M
26,90,€285K,Right,3,CDM,6'1,185lbs,52,59,76,85,53,69,59,78,59,65,62,84,66,86,88,87,89,69,77,66,12,12,€59.5M
26,89,€315K,Left,3,LAM,5'11,172lbs,90,83,62,89,90,85,89,90,73,67,83,85,76,86,54,70,68,80,89,81,5,14,€69.5M
